term_sha256,df_in_ma_train,idf
5a452459503be70d2ed2fca46dd91e05e820a957f175686a77d03fff80f664fe,21,4.50474
dff0669b4df441c26626db0001cd5bee7fc888cecab2a00d03144e90915d6272,11,5.11087
842fcb5e60989a03d08ee07f9bea0a0a4a824d991fe8cc055f3a89e05c5c392e,13,4.95672
715dc8493c36579a5b116995100f635e3572fdf8703e708ef1a08d943b36774e,13,4.95672
244210e48437b6556980a70249a99369934a352429034cef9d7bd253b3bf2c01,19,4.60005
fc9184134ae5672878413fff088dd0a1db30d18dc2a855da6345c7ab592ac46f,18,4.65134
efa1f375d76194fa51a3556a97e641e61685f914d446979da50a551a4333ffd7,57,3.53534
7048dc8aa7663e713097535171b4ed72ab015705a885de9636e66d4b1fa18804,35,4.01226
318c5ad51e9b36ff5924ae323dd59031245413a3e0f2aa3e03cc42902e9e7acc,13,4.95672
ed7f0287406dc11011f760a1622dea563dae3414cc156113b6afa475098c8b5f,21,4.50474
a4d451ec23463726f72c43d64c710968f6b602cd653b4de8adee1b556240a829,16,4.76257
c099142bc3186ded72786ba27e9ea6d2da240fb9fd3fe79b479ecf8e734b2850,18,4.65134
1f7101fe71011ba0872a2e069e8f26c98d6af9ebf8e67bb0c1a559fa9569aa6b,38,3.93222
401045dc4f861002c2494449ee92a7063f34aa49e4708ea6e3231b14d5d7b579,19,4.60005
ef1c4b45f2ed763283f8de890730defb2e7d1f8f0cc4214b740dd8cc5f10364d,16,4.76257
c3bc45ac352fe43ff8f0a1cc26d6cc29f71f536dc417906f8513ea44ed4bb161,29,4.19458
7fe6db78a2c999cb16d280f917ff3a05925f0debf684b3935b9fa9a64400582c,23,4.41773
8b3d14236aff83b16fe4e524c9b27f90ebee703d75e2cb7e4976fe1f73affd21,10,5.19789
4a64609f7db9facca39eaf9f66d77f8f030236e4a826d9fabd09f6b27c465c54,110,2.88625
e259202cf023eab7796e37ae870c07f3034381e23084c6ee8907675b62c22fdd,18,4.65134
35390f5453e810b6248028c63e5860ce4b2ec6401d3849a7f4f871c0d183c22b,14,4.88773
23fc951e4917731273340d66594855bccc3bc14b8854616ec64ed54a8405df52,12,5.03083
dc8743898e901871cc9fecb90b76a1d9ff001ba9d601a130168bc0951907c3fd,9,5.2932
f4caf4ff95731a23e49cb9dde141e8c6980ef5af5f7da847b7f802702239f36c,25,4.33768
850be92fa1e3f6a7013e2bee5567ae79bd97be8fed8b144534e2a402409eb145,12,5.03083
29a03274d109f779317afe5b14e806f9a7388232916b8bcb0d3a21ee99fba439,27,4.26358
d30e4f264ace342a945b696772eeb175a82a32a086409907bdec6eecbd5e7470,22,4.46029
b728667e3b2a6ac971df1482b1268018519bd6a43098bdee48260a67e6015b6b,14,4.88773
5932b2bbe74c4afaae18b853d8c4702808c9bbf42eecd3fa7a24fd9a67f8c97f,16,4.76257
fe9bbd400bb6cb314531e3462507661401959afc69aae96bc6aec2c213b83bc1,10,5.19789
a9eba7c405ea67a1992992d7464ad4f04b7e8dffa39e249c6b26aaa54cc853de,36,3.98486
ce922519a3c3ecaf9b0986c2449c7680895c15f4b0e9818e994e14a4d28b6aaf,12,5.03083
60282ac916350561b1fdb2241f98314705519b5cf65377c1dfeeea2a99dbfc63,14,4.88773
31e5d99417e8b4fe1079fed5af08ae3d7d3c37380a2f9426af899af4f0b66369,46,3.74563
cd42404d52ad55ccfa9aca4adc828aa5800ad9d385a0671fbcbf724118320619,13,4.95672
b068c5093aed09a10a9732de95a450c094e59f0ac8afede78474b8c75eda95b3,10,5.19789
347a5faf2ae6ce14e420853c869ad569069aa6c6cc65fc7ec23334be00d7dbee,51,3.64454
